"","YEAR","site_web_trans","site","web","transect","yrID","siteID"
"1",1992,"BOER_1_108","BOER","1","108",1,1
"2",1992,"BOER_1_12","BOER","1","12",1,2
"3",1992,"BOER_1_132","BOER","1","132",1,3
"4",1992,"BOER_1_36","BOER","1","36",1,4
"5",1992,"BOER_1_60","BOER","1","60",1,5
"6",1992,"BOER_1_84","BOER","1","84",1,6
"7",1992,"BOER_2_108","BOER","2","108",1,7
"8",1992,"BOER_2_12","BOER","2","12",1,8
"9",1992,"BOER_2_132","BOER","2","132",1,9
"10",1992,"BOER_2_36","BOER","2","36",1,10
"11",1992,"BOER_2_60","BOER","2","60",1,11
"12",1992,"BOER_2_84","BOER","2","84",1,12
"13",1992,"BOER_3_108","BOER","3","108",1,13
"14",1992,"BOER_3_12","BOER","3","12",1,14
"15",1992,"BOER_3_132","BOER","3","132",1,15
"16",1992,"BOER_3_36","BOER","3","36",1,16
"17",1992,"BOER_3_60","BOER","3","60",1,17
"18",1992,"BOER_3_84","BOER","3","84",1,18
"19",1992,"BOER_4_108","BOER","4","108",1,19
"20",1992,"BOER_4_12","BOER","4","12",1,20
"21",1992,"BOER_4_132","BOER","4","132",1,21
"22",1992,"BOER_4_36","BOER","4","36",1,22
"23",1992,"BOER_4_60","BOER","4","60",1,23
"24",1992,"BOER_4_84","BOER","4","84",1,24
"25",1992,"BOER_5_108","BOER","5","108",1,25
"26",1992,"BOER_5_12","BOER","5","12",1,26
"27",1992,"BOER_5_132","BOER","5","132",1,27
"28",1992,"BOER_5_36","BOER","5","36",1,28
"29",1992,"BOER_5_60","BOER","5","60",1,29
"30",1992,"BOER_5_84","BOER","5","84",1,30
"31",1992,"LATR_1_108","LATR","1","108",1,31
"32",1992,"LATR_1_12","LATR","1","12",1,32
"33",1992,"LATR_1_132","LATR","1","132",1,33
"34",1992,"LATR_1_36","LATR","1","36",1,34
"35",1992,"LATR_1_60","LATR","1","60",1,35
"36",1992,"LATR_1_84","LATR","1","84",1,36
"37",1992,"LATR_2_108","LATR","2","108",1,37
"38",1992,"LATR_2_12","LATR","2","12",1,38
"39",1992,"LATR_2_132","LATR","2","132",1,39
"40",1992,"LATR_2_36","LATR","2","36",1,40
"41",1992,"LATR_2_60","LATR","2","60",1,41
"42",1992,"LATR_2_84","LATR","2","84",1,42
