"","RECYEAR","TRANSNUM","WATERSHED","TransID","yrID"
"1",1981,2,"N04B",2,1
"2",1981,1,"N04D",1,1
"3",1981,9,"R20A",7,1
"4",1981,10,"N01B",8,1
"5",1981,14,"020B",10,1
"6",1981,13,"020C",9,1
"7",1981,3,"004B",3,1
"8",1981,6,"N01B",5,1
"9",1981,8,"001D",6,1
"10",1981,4,"004A",4,1
"11",1982,3,"004B",3,2
"12",1982,8,"001D",6,2
"13",1982,1,"N04D",1,2
"14",1982,6,"N01B",5,2
"15",1982,9,"R20A",7,2
"16",1982,10,"N01B",8,2
"17",1982,2,"N04B",2,2
"18",1982,4,"004A",4,2
"19",1982,14,"020B",10,2
"20",1982,18,"N20B",11,2
"21",1982,13,"020C",9,2
"22",1983,14,"020B",10,3
"23",1983,18,"N20B",11,3
"24",1983,4,"004A",4,3
"25",1983,6,"N01B",5,3
"26",1983,1,"N04D",1,3
"27",1983,3,"004B",3,3
"28",1983,2,"N04B",2,3
"29",1983,9,"R20A",7,3
"30",1983,10,"N01B",8,3
"31",1983,13,"020C",9,3
"32",1983,8,"001D",6,3
"33",1984,3,"004B",3,4
"34",1984,4,"004A",4,4
"35",1984,9,"R20A",7,4
"36",1984,14,"020B",10,4
"37",1984,1,"N04D",1,4
"38",1984,10,"N01B",8,4
"39",1984,6,"N01B",5,4
"40",1984,2,"N04B",2,4
"41",1984,18,"N20B",11,4
"42",1984,8,"001D",6,4
"43",1984,13,"020C",9,4
"44",1985,1,"N04D",1,5
"45",1985,10,"N01B",8,5
"46",1985,13,"020C",9,5
"47",1985,14,"020B",10,5
"48",1985,8,"001D",6,5
"49",1985,18,"N20B",11,5
"50",1985,2,"N04B",2,5
"51",1985,3,"004B",3,5
"52",1985,4,"004A",4,5
"53",1985,6,"N01B",5,5
"54",1985,9,"R20A",7,5
"55",1986,1,"N04D",1,6
"56",1986,8,"001D",6,6
"57",1986,9,"R20A",7,6
"58",1986,13,"020C",9,6
"59",1986,18,"N20B",11,6
"60",1986,2,"N04B",2,6
"61",1986,3,"004B",3,6
"62",1986,6,"N01B",5,6
"63",1986,4,"004A",4,6
"64",1986,10,"N01B",8,6
"65",1986,14,"020B",10,6
"66",1987,1,"N04D",1,7
"67",1987,9,"R20A",7,7
"68",1987,2,"N04B",2,7
"69",1987,6,"N01B",5,7
"70",1987,8,"001D",6,7
"71",1987,3,"004B",3,7
"72",1987,18,"N20B",11,7
"73",1987,10,"N01B",8,7
"74",1987,4,"004A",4,7
"75",1987,13,"020C",9,7
"76",1987,14,"020B",10,7
"77",1988,2,"N04B",2,8
"78",1988,8,"001D",6,8
"79",1988,9,"R20A",7,8
"80",1988,14,"020B",10,8
"81",1988,18,"N20B",11,8
"82",1988,1,"N04D",1,8
"83",1988,4,"004A",4,8
"84",1988,10,"N01B",8,8
"85",1988,6,"N01B",5,8
"86",1988,13,"020C",9,8
"87",1988,3,"004B",3,8
"88",1989,1,"N04D",1,9
"89",1989,13,"020C",9,9
"90",1989,18,"N20B",11,9
"91",1989,3,"004B",3,9
"92",1989,6,"N01B",5,9
"93",1989,8,"001D",6,9
"94",1989,2,"N04B",2,9
"95",1989,10,"N01B",8,9
"96",1989,14,"020B",10,9
"97",1989,4,"004A",4,9
"98",1989,9,"R20A",7,9
"99",1990,1,"N04D",1,10
"100",1990,9,"R20A",7,10
"101",1990,10,"N01B",8,10
"102",1990,2,"N04B",2,10
"103",1990,8,"001D",6,10
"104",1990,4,"004A",4,10
"105",1990,3,"004B",3,10
"106",1990,6,"N01B",5,10
"107",1990,13,"020C",9,10
"108",1990,18,"N20B",11,10
"109",1990,14,"020B",10,10
"110",1991,6,"N01B",5,11
"111",1991,8,"001D",6,11
"112",1991,14,"020B",10,11
"113",1991,2,"N04B",2,11
"114",1991,10,"N01B",8,11
"115",1991,18,"N20B",11,11
"116",1991,4,"004A",4,11
"117",1991,13,"020C",9,11
"118",1991,1,"N04D",1,11
"119",1991,3,"004B",3,11
"120",1991,9,"R20A",7,11
"121",1992,8,"001D",6,12
"122",1992,10,"N01B",8,12
"123",1992,4,"004A",4,12
"124",1992,14,"020B",10,12
"125",1992,6,"N01B",5,12
"126",1992,13,"020C",9,12
"127",1992,1,"N04D",1,12
"128",1992,18,"N20B",11,12
"129",1992,3,"004B",3,12
"130",1992,2,"N04B",2,12
"131",1992,9,"R20A",7,12
"132",1993,8,"001D",6,13
"133",1993,2,"N04B",2,13
"134",1993,4,"004A",4,13
"135",1993,9,"R20A",7,13
"136",1993,14,"020B",10,13
"137",1993,1,"N04D",1,13
"138",1993,6,"N01B",5,13
"139",1993,18,"N20B",11,13
"140",1993,3,"004B",3,13
"141",1993,13,"020C",9,13
"142",1993,10,"N01B",8,13
"143",1994,4,"004A",4,14
"144",1994,9,"R20A",7,14
"145",1994,1,"N04D",1,14
"146",1994,10,"N01B",8,14
"147",1994,14,"020B",10,14
"148",1994,6,"N01B",5,14
"149",1994,18,"N20B",11,14
"150",1994,2,"N04B",2,14
"151",1994,3,"004B",3,14
"152",1994,13,"020C",9,14
"153",1994,8,"001D",6,14
"154",1995,8,"001D",6,15
"155",1995,6,"N01B",5,15
"156",1995,13,"020C",9,15
"157",1995,4,"004A",4,15
"158",1995,9,"R20A",7,15
"159",1995,2,"N04B",2,15
"160",1995,1,"N04D",1,15
"161",1995,14,"020B",10,15
"162",1995,18,"N20B",11,15
"163",1995,10,"N01B",8,15
"164",1995,3,"004B",3,15
"165",1996,6,"N01B",5,16
"166",1996,14,"020B",10,16
"167",1996,3,"004B",3,16
"168",1996,4,"004A",4,16
"169",1996,9,"R20A",7,16
"170",1996,18,"N20B",11,16
"171",1996,10,"N01B",8,16
"172",1996,13,"020C",9,16
"173",1996,1,"N04D",1,16
"174",1996,8,"001D",6,16
"175",1996,2,"N04B",2,16
"176",1997,6,"N01B",5,17
"177",1997,8,"001D",6,17
"178",1997,14,"020B",10,17
"179",1997,18,"N20B",11,17
"180",1997,1,"N04D",1,17
"181",1997,10,"N01B",8,17
"182",1997,13,"020C",9,17
"183",1997,2,"N04B",2,17
"184",1997,3,"004B",3,17
"185",1997,4,"004A",4,17
"186",1997,9,"R20A",7,17
"187",1998,6,"N01B",5,18
"188",1998,8,"001D",6,18
"189",1998,14,"020B",10,18
"190",1998,1,"N04D",1,18
"191",1998,10,"N01B",8,18
"192",1998,4,"004A",4,18
"193",1998,9,"R20A",7,18
"194",1998,13,"020C",9,18
"195",1998,18,"N20B",11,18
"196",1998,2,"N04B",2,18
"197",1998,3,"004B",3,18
"198",1999,6,"N01B",5,19
"199",1999,8,"001D",6,19
"200",1999,1,"N04D",1,19
"201",1999,2,"N04B",2,19
"202",1999,10,"N01B",8,19
"203",1999,18,"N20B",11,19
"204",1999,3,"004B",3,19
"205",1999,4,"004A",4,19
"206",1999,14,"020B",10,19
"207",1999,13,"020C",9,19
"208",1999,9,"R20A",7,19
"209",2000,1,"N04D",1,20
"210",2000,6,"N01B",5,20
"211",2000,10,"N01B",8,20
"212",2000,14,"020B",10,20
"213",2000,2,"N04B",2,20
"214",2000,18,"N20B",11,20
"215",2000,4,"004A",4,20
"216",2000,8,"001D",6,20
"217",2000,9,"R20A",7,20
"218",2000,13,"020C",9,20
"219",2000,3,"004B",3,20
"220",2001,2,"N04B",2,21
"221",2001,10,"N01B",8,21
"222",2001,18,"N20B",11,21
"223",2001,8,"001D",6,21
"224",2001,13,"020C",9,21
"225",2001,3,"004B",3,21
"226",2001,4,"004A",4,21
"227",2001,9,"R20A",7,21
"228",2001,1,"N04D",1,21
"229",2001,6,"N01B",5,21
"230",2001,14,"020B",10,21
"231",2002,6,"N01B",5,22
"232",2002,8,"001D",6,22
"233",2002,13,"020C",9,22
"234",2002,14,"020B",10,22
"235",2002,4,"004A",4,22
"236",2002,9,"R20A",7,22
"237",2002,1,"N04D",1,22
"238",2002,10,"N01B",8,22
"239",2002,2,"N04B",2,22
"240",2002,18,"N20B",11,22
"241",2002,3,"004B",3,22
"242",2003,1,"N04D",1,23
"243",2003,10,"N01B",8,23
"244",2003,8,"001D",6,23
"245",2003,13,"020C",9,23
"246",2003,6,"N01B",5,23
"247",2003,14,"020B",10,23
"248",2003,2,"N04B",2,23
"249",2003,18,"N20B",11,23
"250",2003,3,"004B",3,23
"251",2003,4,"004A",4,23
"252",2003,9,"R20A",7,23
"253",2004,3,"004B",3,24
"254",2004,4,"004A",4,24
"255",2004,2,"N04B",2,24
"256",2004,18,"N20B",11,24
"257",2004,13,"020C",9,24
"258",2004,1,"N04D",1,24
"259",2004,10,"N01B",8,24
"260",2004,6,"N01B",5,24
"261",2004,14,"020B",10,24
"262",2004,9,"R20A",7,24
"263",2004,8,"001D",6,24
"264",2005,2,"N04B",2,25
"265",2005,18,"N20B",11,25
"266",2005,8,"001D",6,25
"267",2005,13,"020C",9,25
