"","EventYear","yrID","Plot","Transect","Quadrat","quadnum"
"1",2007,1,"S15","B",1,1
"2",2007,1,"S15","B",2,2
"3",2007,1,"S15","B",3,3
"4",2007,1,"S15","B",4,4
"5",2007,1,"S15","B",5,5
"6",2015,7,"S15","B",1,1
"7",2015,7,"S15","B",2,2
"8",2015,7,"S15","B",3,3
"9",2015,7,"S15","B",4,4
"10",2015,7,"S15","B",5,5
"11",2017,8,"S15","B",1,1
"12",2017,8,"S15","B",2,2
"13",2017,8,"S15","B",3,3
"14",2017,8,"S15","B",4,4
"15",2017,8,"S15","B",5,5
"16",2022,10,"S15","B",1,1
"17",2022,10,"S15","B",2,2
"18",2022,10,"S15","B",3,3
"19",2022,10,"S15","B",4,4
"20",2022,10,"S15","B",5,5
"21",2007,1,"S16","C",1,6
"22",2007,1,"S16","C",2,7
"23",2007,1,"S16","C",3,8
"24",2007,1,"S16","C",4,9
"25",2007,1,"S16","C",5,10
"26",2008,2,"S16","C",1,1
"27",2008,2,"S16","C",2,2
"28",2008,2,"S16","C",3,3
"29",2008,2,"S16","C",4,4
"30",2008,2,"S16","C",5,5
"31",2009,3,"S16","C",1,1
"32",2009,3,"S16","C",2,2
"33",2009,3,"S16","C",3,3
"34",2009,3,"S16","C",4,4
"35",2009,3,"S16","C",5,5
"36",2011,5,"S16","C",1,1
"37",2011,5,"S16","C",2,2
"38",2011,5,"S16","C",3,3
"39",2011,5,"S16","C",4,4
"40",2011,5,"S16","C",5,5
"41",2013,6,"S16","C",1,1
"42",2013,6,"S16","C",2,2
"43",2013,6,"S16","C",3,3
"44",2013,6,"S16","C",4,4
"45",2013,6,"S16","C",5,5
"46",2015,7,"S16","C",1,6
"47",2015,7,"S16","C",2,7
"48",2015,7,"S16","C",3,8
"49",2015,7,"S16","C",4,9
"50",2015,7,"S16","C",5,10
"51",2019,9,"S16","C",1,1
"52",2019,9,"S16","C",2,2
"53",2019,9,"S16","C",3,3
"54",2019,9,"S16","C",4,4
"55",2019,9,"S16","C",5,5
"56",2022,10,"S16","C",1,6
"57",2022,10,"S16","C",2,7
"58",2022,10,"S16","C",3,8
"59",2022,10,"S16","C",4,9
"60",2022,10,"S16","C",5,10
"61",2007,1,"S09","A",1,11
"62",2007,1,"S09","A",2,12
"63",2007,1,"S09","A",3,13
"64",2007,1,"S09","A",4,14
"65",2007,1,"S09","A",5,15
"66",2015,7,"S09","A",1,11
"67",2015,7,"S09","A",2,12
"68",2015,7,"S09","A",3,13
