LATIN NAME,CODE,FAMILY,SUBFAMILY,Lifeform,LifeHistory,MacrohabitatMicrohabitat ,Diet,Comments
Acrolophitus hirtipes,ACHI,Acrididae,Gomphocerinae,H,SU,"grassland, forbes",forbs,
Acantherus piperatus,ACPI,Acrididae,Gomphocerinae,G,SU,"shrubland, grass/shrubs",grass; Muhlenbergia porteri,associated with both MUPO (food) and shrubs (substrate)
Ageneotettix deorum,AGDE,Acrididae,Gomphocerinae,TG,SU,"grassland, grass/soil",grass,
Amphitornus coloradus,AMCO,Acrididae,Gomphocerinae,G,SU,"grassland, tall grass ",grass ,
Arphia conspersa,ARCO,Acrididae,Oedipodinae,T,SP,"grassland, soil",mixed grass/forb,
Arphia pseudonietana,ARPS,Acrididae,Oedipodinae,T,SU,"grassland, soil",mixed grass/forb,
Aulocara elliotti,AUEL,Acrididae,Gomphocerinae,TG,SU,"grassland, grass/soil",grass,
Aulocara femoratum,AUFE,Acrididae,Gomphocerinae,TG,SU,"grassland, grass/soil",grass,
Bootettix argentatus,BOAR,Acrididae,Gomphocerinae,TG,MV,"creostebush shrubland, Larrea",shrub; Larrea tridentata,monophagous on Larrea
Boopedon nubilum,BONU,Acrididae,Gomphocerinae,TG,SU,"grassland, grass/soil",grass,
Brachystola magna,BRMA,Romaleidae,Romaleinae,TG,SU,"grassland, grass/soil",forbs,
Cibolacris parviceps,CIPA,Acrididae,Gomphocerinae,T,SP,"shrubland, gravelly soil",mixed grass/forb,
Cordillacris crenulata,COCR,Acrididae,Gomphocerinae,TG,SU,"grassland, grass/soil",grass,
Cordillacris occipitalis,COOC,Acrididae,Gomphocerinae,TG,SU,"grassland, grass/soil",grass,
Conozoa texana,COTE,Acrididae,Gomphocerinae,T,SU,"shrubland, soil",mixed grass/forb,
Dactylotum bicolor,DABI,Acrididae,Melanoplinae,TG,SU,"grassland, forbs/soil",forbs,
Encoptolophus costalis,ENCO,Acrididae,Oedipodinae,T,SU,"riparian or swales, bare damp soil",mixed grass/forb,restricted to ephemeral wetlands and swales
Encoptolophus subgracilis,ENCO,Acrididae,Oedipodinae,T,SU,"riparian or swales, bare damp soil",mixed grass/forb,restricted to ephemeral wetlands and swales
Eritettix simplex,ERSI,Acrididae,Gomphocerinae,G,SP,"grassland, dense grass",grass,
Hadrotettix magnificus,HAMA,Acrididae,Oedipodinae,T,SU,"grassland, soil",mixed grass/forb,rare Blue Grama Site
Hadrotettix trifasciatus,HATR,Acrididae,Oedipodinae,T,SU,"grassland, soil",mixed grass/forb,
Heliaula rufa,HERU,Acrididae,Gomphocerinae,T,SU,"grassland, soil",mixed grass/forb,
Hesperotettix viridis,HEVI,Acrididae,Melanoplinae,A,SU,"grassland, snakeweed",shrub; Gutierrezia sarothrae ,monophagous on Gutierrezia
Hippopedon capito,HICA,Acrididae,Oedipodinae,T,SU,"shrubland, soil",mixed grass/forb,
Leprus wheeleri,LEWH,Acrididae,Oedipodinae,T,SU,"grassland/shrubland, rocky soil",mixed grass/forb,
Melanoplus aridus,MEAR,Acrididae,Melanoplinae,A,SU,"grassland/shrubland, subshrubs",forbs,
Melanoplus arizonae,MEAR2,Acrididae,Melanoplinae,TG,SU,"grassland, grass/soil",forbs,
Melanoplus bowditchi,MEBO,Acrididae,Melanoplinae,A,SU,"grassland, composite shrubs",forbs,
