DATE,YEAR,SEAS,SITE,season,ecosystem,WEB,TRN,SPECIES,AGE,SEX,SUB,CNT,BURNED,COMMENTS
1992-06-22,1992,E,BOER,spring,core_black,1,12,ARCO,4,M,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,COCR,4,F,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,COOC,4,F,BOER4,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,COOC,4,M,BOER4,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,ERSI,4,F,BOER4,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,PSDE,4,M,BOER4,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,PSDE,4,M,BOGR2,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,PSDE,4,F,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,PSDE,4,F,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,PSDE,4,F,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,PSDE,4,F,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,PSDE,4,M,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,PSDE,4,M,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,PSDE,4,M,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,TRPA,4,M,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,XACO,4,M,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,12,XACO,4,M,SOIL,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,36,COOC,4,F,BOER4,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,36,COOC,4,F,BOER4,1,NA,NA
1992-06-22,1992,E,BOER,spring,core_black,1,36,COOC,4,M,BOER4,1,NA,NA
